,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,3044.0611941043944,1381.5351108156372,3509.4813974324697,3044.0611941043944,3044.0611941043944,-609.8620959648532,-609.8620959648532,-609.8620959648532,476.99571931593067,476.99571931593067,476.99571931593067,44.02141826584305,44.02141826584305,44.02141826584305,-1130.8792335466271,-1130.8792335466271,-1130.8792335466271,0.0,0.0,0.0,2434.199098139541
1,2018-01-02,3044.726322363442,1368.1123496996204,3487.209430868106,3044.726322363442,3044.726322363442,-605.3993326344064,-605.3993326344064,-605.3993326344064,476.99571931593067,476.99571931593067,476.99571931593067,30.398507172837526,30.398507172837526,30.398507172837526,-1112.7935591231744,-1112.7935591231744,-1112.7935591231744,0.0,0.0,0.0,2439.3269897290356
2,2018-01-03,3045.3914506224887,1428.0053522062317,3514.2724046714598,3045.3914506224887,3045.3914506224887,-605.0972939784922,-605.0972939784922,-605.0972939784922,476.99571931593067,476.99571931593067,476.99571931593067,11.373525892470917,11.373525892470917,11.373525892470917,-1093.466539186894,-1093.466539186894,-1093.466539186894,0.0,0.0,0.0,2440.2941566439968
3,2018-01-04,3046.056578881536,1462.081210400772,3499.099405659107,3046.056578881536,3046.056578881536,-604.3171034925105,-604.3171034925105,-604.3171034925105,476.99571931593067,476.99571931593067,476.99571931593067,-8.3125992760311,-8.3125992760311,-8.3125992760311,-1073.00022353241,-1073.00022353241,-1073.00022353241,0.0,0.0,0.0,2441.7394753890258
4,2018-01-05,3046.721707140583,1369.4755542488274,3440.463093137198,3046.721707140583,3046.721707140583,-632.5049046631865,-632.5049046631865,-632.5049046631865,476.99571931593067,476.99571931593067,476.99571931593067,-57.951590505144196,-57.951590505144196,-57.951590505144196,-1051.5490334739727,-1051.5490334739727,-1051.5490334739727,0.0,0.0,0.0,2414.2168024773964
5,2018-01-06,3047.38683539963,1435.2995880464334,3523.1417016699083,3047.38683539963,3047.38683539963,-585.819696044378,-585.819696044378,-585.819696044378,476.99571931593067,476.99571931593067,476.99571931593067,-33.50050991351926,-33.50050991351926,-33.50050991351926,-1029.3149054467892,-1029.3149054467892,-1029.3149054467892,0.0,0.0,0.0,2461.567139355252
6,2018-01-07,3048.051963658677,1554.2153437429754,3566.3715779127806,3048.051963658677,3048.051963658677,-515.5737962523096,-515.5737962523096,-515.5737962523096,476.99571931593067,476.99571931593067,476.99571931593067,13.971248363481852,13.971248363481852,13.971248363481852,-1006.540763931722,-1006.540763931722,-1006.540763931722,0.0,0.0,0.0,2532.478167406367
7,2018-01-08,3048.717091917724,1472.278904111418,3601.7191715059753,3048.717091917724,3048.717091917724,-462.48541526327165,-462.48541526327165,-462.48541526327165,476.99571931593067,476.99571931593067,476.99571931593067,44.02141826579302,44.02141826579302,44.02141826579302,-983.5025528449953,-983.5025528449953,-983.5025528449953,0.0,0.0,0.0,2586.2316766544523
8,2018-01-09,3049.382220176771,1577.2611144407729,3616.9002913683303,3049.382220176771,3049.382220176771,-453.1058747577348,-453.1058747577348,-453.1058747577348,476.99571931593067,476.99571931593067,476.99571931593067,30.398507172792414,30.398507172792414,30.398507172792414,-960.5001012464578,-960.5001012464578,-960.5001012464578,0.0,0.0,0.0,2596.2763454190363
9,2018-01-10,3050.047348435818,1555.3360723549292,3681.439709705415,3050.047348435818,3050.047348435818,-449.47789169327245,-449.47789169327245,-449.47789169327245,476.99571931593067,476.99571931593067,476.99571931593067,11.373525892451143,11.373525892451143,11.373525892451143,-937.8471369016544,-937.8471369016544,-937.8471369016544,0.0,0.0,0.0,2600.5694567425458
10,2018-01-11,3050.7124766948655,1644.5939696231992,3713.2909108981908,3050.7124766948655,3050.7124766948655,-447.17766863091964,-447.17766863091964,-447.17766863091964,476.99571931593067,476.99571931593067,476.99571931593067,-8.312599276057268,-8.312599276057268,-8.312599276057268,-915.8607886707931,-915.8607886707931,-915.8607886707931,0.0,0.0,0.0,2603.534808063946
11,2018-01-12,3051.3776049539124,1511.1243919704923,3592.291752064985,3051.3776049539124,3051.3776049539124,-475.8068062402749,-475.8068062402749,-475.8068062402749,476.99571931593067,476.99571931593067,476.99571931593067,-57.95159050516017,-57.95159050516017,-57.95159050516017,-894.8509350510454,-894.8509350510454,-894.8509350510454,0.0,0.0,0.0,2575.5707987136375
12,2018-01-13,3052.04273321296,1473.5198079935835,3633.5870665957455,3052.04273321296,3052.04273321296,-431.6145515241441,-431.6145515241441,-431.6145515241441,476.99571931593067,476.99571931593067,476.99571931593067,-33.50050991356484,-33.50050991356484,-33.50050991356484,-875.1097609265098,-875.1097609265098,-875.1097609265098,0.0,0.0,0.0,2620.4281816888156
